ALBA, Albacore,
BGR1, Black Grouper, Wh/G 1-3
BGR10, Black Grouper, Wh/G 10-20
BGR15, Black Grouper Wh/G 15-20,
BGR20, Black Grouper Wh/G 20-30,
BGR20+, Black Grouper, Wh/G 20+
BGR3, Black Grouper, Wh/G 3-5
BGR5, Black Grouper, Wh/G 5-10
CORV, CORVINA,
ESC, Escolar,
10ESC, Escolar, 10-15
15ESC, Escolar, 15-20Lbs
20ESC, Escolar 20-30Lbs,
30ESC, Escolar, 30+
GR10, Grouper, WHL 10-20#
LANE1, Lane Snapper, G/IN 1-2#
LANE2, Lane Snapper, G/IN 2-4#
LANE4, Lane Snapper, G/IN 4-6#
LANEGO1, Lane Snapper, G/OUT 1-2#
BWA, WAHOO, BOX
WA,"	Wahoo", HG
SFS, Swordfish, Steak
MAHI15, Mahi Mahi, 15-20
MAHI20,"	Mahi Mahi", 20+
MAHI5, Mahi Mahi, 5-10
MMAHI, Mahi Mahi,
MAHI10,"	Mahi Mahi", 10-15
RGR10, Red Grouper, 10-20 WH
RGR3, Red Grouper, 3-5 WH
RGR5, Red Grouper, 5-10
RGR1, Red Grouper, WH 1-3
RS#1, Red Snapper, Wh/Gtd 1-2lbs
RS#2, Red Snapper, Wh/Gtd 2-4lbs
RS#4, Red Snapper, Wh/Gtd 4-6#
SILK3/4, Silk Snapper, 3/4-1# G/IN
SILK1, Silk Snapper, G/IN 1-2#
SILK10,"	Silk Snapper", G/IN 10+
SILK2, Silk Snapper, G/IN 2-4#
SILK4, Silk Snapper, G/IN 4-6#
SILK6, Silk Snapper, G/IN 6-8#
SILK8, Silk Snapper, G/IN 8-10
SILKGO1,Silk Snapper, G/OUT 1-2#
SM, Swordfish, HG
SU,"	Swordfish*", HG
SR,"	Swordfish**", HG
SS,"	Swordfish***", HG
2SM, Swordfish+,
YFA1, Tuna, A (#1) YF
YFAM1, Tuna, A- YF
BEUAM1,"	Tuna", A-* BE
YFUAM1, Tuna, A-* YF
BEUA1, Tuna, A* BE
YFUA1, Tuna, A* YF
YFAW, Tuna, A+  YF
BEAW, Tuna, A+ BE
BEUAW, Tuna, A+*BE
YFUAW, Tuna, A+*YF
BE2AW, Tuna, A++ BE
BEU2AW, Tuna, A++ BE
HBE2AW,"	Tuna", A++ BE/Head on
YF2AW, Tuna, A++ YF
YFU2AW,"	Tuna", A++* YF
BE3AW, Tuna, A+++ BE
YF3AW, Tuna, A+++ YF
BEA2, Tuna, AA BE
YFA2, Tuna, AA YF
YFUA2, Tuna, AA* YF
BE+A2, Tuna, AA+ BE
YF+A2, Tuna, AA+ YF
BEA3, Tuna, AAA BE
BEA1, Tuna, A BE
BEAM1, Tuna, A- BE
YFA3, Tuna, AAA YF
BEUA3, Tuna, AAA* BE
YFUA3, Tuna, AAA* YF
BE+A3, Tuna, AAA+ BE
YF+A3, Tuna, AAA+ YF
BEU+A3,"	Tuna", AAA+* BE
BEA4, Tuna, AAAA BE
YFA4, Tuna, AAAA YF
YFB2, Tuna, B+  YF
BEUB2, Tuna, B+* BE
YFB3, Tuna, B++  YF
BEB3, Tuna, B++ BE
BEUB3, Tuna, B++* BE
YFUB3, Tuna, B++* YF
UG2BE, Tuna**, BE
UG2YF, Tuna**, YF
